,sample_size,population_relative_change,control_rate,type_1_error_TRC,type_1_error_NRC
0,500,0.1,0.005,0.044,0.02
1,500,0.25,0.005,0.065,0.026
2,500,0.5,0.005,0.066,0.034
3,500,1.0,0.005,0.079,0.056
4,500,2.0,0.005,0.071,0.11
5,500,0.1,0.01,0.015,0.046
6,500,0.25,0.01,0.027,0.064
7,500,0.5,0.01,0.021,0.1
8,500,1.0,0.01,0.018,0.113
9,500,2.0,0.01,0.031,0.176
10,500,0.1,0.02,0.027,0.052
11,500,0.25,0.02,0.033,0.083
12,500,0.5,0.02,0.043,0.099
13,500,1.0,0.02,0.035,0.129
14,500,2.0,0.02,0.052,0.157
15,500,0.1,0.05,0.04,0.054
16,500,0.25,0.05,0.052,0.079
17,500,0.5,0.05,0.049,0.103
18,500,1.0,0.05,0.045,0.112
19,500,2.0,0.05,0.044,0.167
20,1000,0.1,0.005,0.023,0.047
21,1000,0.25,0.005,0.025,0.073
22,1000,0.5,0.005,0.01,0.073
23,1000,1.0,0.005,0.017,0.109
24,1000,2.0,0.005,0.015,0.16
25,1000,0.1,0.01,0.03,0.059
26,1000,0.25,0.01,0.033,0.061
27,1000,0.5,0.01,0.03,0.1
28,1000,1.0,0.01,0.035,0.116
29,1000,2.0,0.01,0.035,0.166
30,1000,0.1,0.02,0.035,0.056
31,1000,0.25,0.02,0.029,0.059
32,1000,0.5,0.02,0.04,0.093
33,1000,1.0,0.02,0.032,0.111
34,1000,2.0,0.02,0.055,0.191
35,1000,0.1,0.05,0.058,0.072
36,1000,0.25,0.05,0.051,0.073
37,1000,0.5,0.05,0.071,0.116
38,1000,1.0,0.05,0.046,0.111
39,1000,2.0,0.05,0.052,0.186
40,2000,0.1,0.005,0.036,0.048
41,2000,0.25,0.005,0.03,0.062
42,2000,0.5,0.005,0.026,0.094
43,2000,1.0,0.005,0.033,0.109
44,2000,2.0,0.005,0.044,0.183
45,2000,0.1,0.01,0.042,0.057
46,2000,0.25,0.01,0.037,0.061
47,2000,0.5,0.01,0.05,0.094
48,2000,1.0,0.01,0.039,0.11
49,2000,2.0,0.01,0.052,0.181
50,2000,0.1,0.02,0.044,0.052
51,2000,0.25,0.02,0.036,0.057
52,2000,0.5,0.02,0.041,0.081
53,2000,1.0,0.02,0.036,0.126
54,2000,2.0,0.02,0.032,0.145
55,2000,0.1,0.05,0.053,0.064
56,2000,0.25,0.05,0.051,0.065
57,2000,0.5,0.05,0.059,0.091
58,2000,1.0,0.05,0.046,0.126
59,2000,2.0,0.05,0.037,0.175
60,5000,0.1,0.005,0.036,0.052
61,5000,0.25,0.005,0.051,0.07
62,5000,0.5,0.005,0.04,0.093
63,5000,1.0,0.005,0.045,0.132
64,5000,2.0,0.005,0.045,0.166
65,5000,0.1,0.01,0.048,0.051
66,5000,0.25,0.01,0.056,0.083
67,5000,0.5,0.01,0.04,0.085
68,5000,1.0,0.01,0.056,0.141
69,5000,2.0,0.01,0.041,0.164
70,5000,0.1,0.02,0.05,0.055
71,5000,0.25,0.02,0.061,0.086
72,5000,0.5,0.02,0.056,0.107
73,5000,1.0,0.02,0.043,0.129
74,5000,2.0,0.02,0.053,0.182
75,5000,0.1,0.05,0.05,0.058
76,5000,0.25,0.05,0.058,0.082
77,5000,0.5,0.05,0.043,0.093
78,5000,1.0,0.05,0.055,0.137
79,5000,2.0,0.05,0.052,0.168
